ID,AgeOldestIdentityRecord,AgeOldestAccount,AgeNewestAutoAccount,TotalInquiries,AvgAgeAutoAccounts,TotalAutoAccountsNeverDelinquent,WorstDelinquency,HasInquiryTelecomm
8332245,12.0,,,0.0,,,,1.0
8330288,272.0,236.0,,0.0,,,1.0,0.0
8330485,121.0,74.0,23.0,0.0,23.0,1.0,1.0,0.0
8325587,304.0,71.0,33.0,0.0,39.0,0.0,400.0,0.0
8330524,300.0,117.0,21.0,0.0,65.0,1.0,400.0,0.0
8328806,87.0,75.0,,1.0,,,400.0,0.0
8330374,378.0,248.0,,0.0,,,400.0,0.0
8328266,377.0,306.0,80.0,3.0,155.0,1.0,400.0,0.0
8325301,10.0,62.0,,0.0,,,1.0,0.0
8323673,322.0,179.0,97.0,0.0,108.0,3.0,400.0,0.0
8322747,,150.0,40.0,0.0,101.0,3.0,1.0,0.0
8321595,246.0,221.0,52.0,0.0,89.0,1.0,1.0,0.0
8325548,125.0,75.0,75.0,0.0,75.0,0.0,1.0,1.0
8327238,282.0,169.0,97.0,7.0,110.0,2.0,1.0,0.0
8332373,321.0,195.0,54.0,0.0,95.0,2.0,400.0,0.0
8324474,263.0,256.0,98.0,0.0,118.0,2.0,1.0,0.0
8323332,320.0,220.0,23.0,0.0,23.0,1.0,1.0,0.0
8327276,343.0,135.0,68.0,0.0,94.0,2.0,400.0,0.0
8329208,240.0,130.0,,0.0,,,400.0,0.0
8324156,216.0,114.0,100.0,2.0,107.0,1.0,1.0,0.0
8326936,314.0,112.0,,0.0,,,1.0,0.0
8329820,115.0,30.0,,0.0,,,1.0,0.0
8328736,168.0,112.0,,0.0,,,1.0,0.0
8326485,309.0,309.0,40.0,0.0,107.0,1.0,60.0,0.0
8324527,275.0,152.0,13.0,1.0,35.0,0.0,400.0,0.0
8328169,133.0,107.0,38.0,0.0,72.0,1.0,1.0,0.0
8328124,43.0,21.0,,0.0,,,60.0,0.0
8331304,195.0,119.0,,0.0,,,1.0,0.0
8321937,185.0,146.0,25.0,1.0,73.0,2.0,30.0,0.0
8330718,216.0,144.0,55.0,0.0,92.0,1.0,1.0,0.0
8331210,76.0,40.0,,0.0,,,30.0,0.0
8330034,199.0,166.0,,0.0,,,120.0,0.0
8332767,30.0,,,,,,,0.0
8325837,261.0,126.0,120.0,1.0,123.0,0.0,400.0,0.0
8330454,174.0,166.0,,3.0,,,400.0,0.0
8325232,164.0,161.0,72.0,0.0,99.0,1.0,1.0,1.0
8329512,83.0,82.0,79.0,0.0,79.0,0.0,400.0,1.0
8322757,260.0,83.0,,0.0,,,400.0,0.0
8331136,338.0,101.0,45.0,0.0,67.0,1.0,1.0,0.0
8322765,298.0,177.0,6.0,0.0,14.0,3.0,1.0,0.0
8329115,256.0,202.0,104.0,0.0,104.0,0.0,400.0,0.0
8331645,320.0,156.0,32.0,1.0,77.0,3.0,400.0,0.0
8328910,207.0,207.0,2.0,0.0,37.0,1.0,400.0,0.0
8328936,291.0,197.0,,1.0,,,400.0,0.0
8323359,326.0,92.0,37.0,4.0,64.0,0.0,400.0,0.0
8332049,215.0,195.0,42.0,1.0,49.0,1.0,1.0,0.0
8332619,260.0,165.0,60.0,1.0,81.0,1.0,1.0,0.0
8326799,27.0,23.0,,0.0,,,1.0,0.0
8330540,200.0,192.0,,2.0,,,400.0,0.0
8323233,159.0,,,0.0,,,,0.0
8330507,102.0,85.0,,0.0,,,400.0,0.0
8324827,166.0,155.0,119.0,0.0,119.0,1.0,1.0,0.0
8321879,200.0,102.0,95.0,0.0,95.0,0.0,1.0,1.0
8325693,383.0,58.0,48.0,0.0,53.0,0.0,1.0,0.0
8331428,191.0,165.0,7.0,0.0,64.0,9.0,30.0,0.0
8329277,43.0,44.0,,0.0,,,400.0,0.0
8330358,315.0,107.0,38.0,0.0,73.0,0.0,400.0,0.0
8326003,354.0,164.0,,0.0,,,400.0,0.0
8329765,92.0,72.0,7.0,1.0,23.0,1.0,400.0,0.0
8330456,154.0,79.0,,0.0,,,1.0,0.0
8324607,246.0,185.0,99.0,0.0,99.0,0.0,400.0,0.0
8330781,98.0,4.0,,0.0,,,1.0,1.0
8323159,138.0,129.0,85.0,0.0,101.0,2.0,1.0,0.0
8323747,347.0,52.0,17.0,0.0,35.0,2.0,1.0,0.0
8324611,77.0,,,0.0,,,,1.0
8322635,281.0,238.0,44.0,0.0,82.0,0.0,1.0,0.0
8328071,173.0,66.0,,0.0,,,120.0,0.0
8328358,227.0,87.0,87.0,0.0,87.0,0.0,1.0,0.0
8330588,264.0,148.0,12.0,0.0,18.0,1.0,60.0,0.0
8327789,320.0,207.0,38.0,0.0,38.0,0.0,400.0,0.0
8323190,316.0,184.0,7.0,0.0,12.0,2.0,1.0,0.0
8324968,,,,0.0,,,,0.0
8326438,322.0,312.0,25.0,1.0,82.0,2.0,30.0,0.0
8329914,318.0,262.0,,0.0,,,1.0,0.0
8329562,353.0,103.0,76.0,0.0,76.0,0.0,400.0,0.0
8327547,213.0,81.0,,0.0,,,400.0,0.0
8324793,228.0,136.0,12.0,0.0,65.0,2.0,400.0,1.0
8324695,248.0,,,0.0,,,,0.0
8325419,115.0,114.0,,1.0,,,400.0,0.0
8327454,226.0,140.0,112.0,0.0,121.0,2.0,1.0,0.0
8332061,32.0,36.0,17.0,1.0,17.0,1.0,400.0,0.0
8332411,344.0,343.0,1.0,0.0,41.0,1.0,400.0,0.0
8322277,313.0,295.0,102.0,0.0,123.0,1.0,1.0,0.0
8326427,299.0,203.0,80.0,2.0,100.0,1.0,1.0,0.0
8322501,349.0,102.0,,0.0,,,1.0,0.0
8332417,205.0,106.0,93.0,0.0,93.0,0.0,400.0,0.0
8322651,130.0,,,0.0,,,,1.0
8329837,374.0,123.0,62.0,0.0,62.0,0.0,1.0,0.0
8328287,119.0,120.0,69.0,0.0,74.0,1.0,400.0,0.0
8329723,320.0,200.0,34.0,0.0,103.0,2.0,1.0,0.0
8323235,314.0,98.0,,0.0,,,1.0,0.0
8324916,222.0,204.0,,0.0,,,1.0,0.0
8325500,205.0,179.0,28.0,0.0,52.0,2.0,400.0,0.0
8323140,176.0,110.0,67.0,0.0,67.0,0.0,30.0,0.0
8322445,359.0,217.0,7.0,1.0,95.0,3.0,400.0,0.0
8324623,167.0,117.0,,0.0,,,400.0,0.0
8330499,72.0,,,1.0,,,,0.0
8328384,373.0,79.0,11.0,0.0,11.0,0.0,60.0,0.0
8328927,314.0,26.0,26.0,2.0,26.0,1.0,400.0,1.0
8328447,303.0,169.0,89.0,1.0,109.0,4.0,1.0,0.0
8328242,126.0,112.0,72.0,0.0,78.0,0.0,400.0,0.0
8323219,221.0,77.0,11.0,0.0,44.0,0.0,400.0,0.0
8323748,227.0,227.0,75.0,0.0,102.0,1.0,400.0,0.0
